2026-05-15 19:42:33 [INFO] [API] GET /notifications/unread-count 304 3ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /zone-access/music 304 1ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /friend-requests 304 1ms user=1
2026-05-15 19:42:33 [INFO] [API] GET / 200 2ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /friend-requests 304 1ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /40 200 3ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /notifications/unread-count 304 3ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /zone-access/music 304 3ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /levels/me 304 3ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /bookmarks/check/40 304 1ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /posts/40/comments 304 2ms user=1
2026-05-15 19:42:36 [INFO] [API] GET /friend-requests 304 0ms user=1
2026-05-15 19:42:36 [WARN] [API] GET /avatar/avatar_user2_1778758474013.jpg 404 1ms user=1
2026-05-15 19:42:38 [INFO] [API] GET /40 304 2ms user=1
2026-05-15 19:42:38 [INFO] [API] GET /notifications/unread-count 304 2ms user=1
2026-05-15 19:42:38 [INFO] [API] GET /zone-access/music 304 2ms user=1
2026-05-15 19:42:38 [INFO] [API] GET /levels/me 304 3ms user=1
2026-05-15 19:42:39 [INFO] [API] GET /friend-requests 304 1ms user=1
2026-05-15 19:42:41 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:42:41 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:42:55 [INFO] [API] PUT /40 200 3ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /40 200 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /notifications/unread-count 304 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /zone-access/music 304 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /levels/me 304 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /bookmarks/check/40 304 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /posts/40/comments 304 1ms user=1
2026-05-15 19:42:55 [INFO] [API] GET /friend-requests 304 1ms user=1
2026-05-15 19:42:55 [WARN] [API] GET /avatar/avatar_user2_1778758474013.jpg 404 1ms user=1
2026-05-15 19:43:03 [INFO] [API] GET / 200 3ms user=2
2026-05-15 19:43:03 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:43:03 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:43:03 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:43:03 [INFO] [API] GET / 304 2ms user=2
2026-05-15 19:43:03 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /40 200 2ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /zone-access/music 304 2ms user=2
